"Customer_Age","Gender","Education_Level","Marital_Status","Income_Category","Months_Inactive_12_mon","Credit_Limit","Total_Trans_Amt","Total_Trans_Ct"
48,"M","Graduate","Divorced","$80K - $120K",2,24446,3897,75
49,"M","High School","Married","$80K - $120K",3,2361,4316,78
40,"M","High School","Single","$40K - $60K",4,2441,3903,62
45,"M","Graduate","Married","$40K - $60K",2,8532,3242,63
36,"M","Graduate","Single","$80K - $120K",3,2900,2631,72
37,"F","Graduate","Single","Less than $40K",2,6827,2621,49
44,"F","College","Divorced","$40K - $60K",2,4513,3164,62
52,"M","College","Married","$120K +",3,27347,4040,77
42,"F","High School","Married","Less than $40K",3,1676,4381,77
62,"F","Graduate","Married","Less than $40K",6,2802,1757,33
49,"M","Post-Graduate","Married","$80K - $120K",0,23870,1885,39
30,"F","Graduate","Single","Less than $40K",2,4868,2907,69
32,"M","High School","Divorced","$60K - $80K",1,2239,2466,60
32,"F","Graduate","Single","Less than $40K",3,2428,3007,84
49,"M","Post-Graduate","Single","$60K - $80K",1,15027,3533,59
37,"M","Doctorate","Single","$120K +",3,32056,2730,68
33,"F","Post-Graduate","Married","$40K - $60K",2,1864,2607,44
36,"M","College","Single","$60K - $80K",2,23032,2787,73
36,"F","High School","Married","Less than $40K",1,4277,1855,49
56,"F","High School","Married","$40K - $60K",3,2771,1706,27
28,"M","High School","Divorced","Less than $40K",3,2265,2306,61
55,"M","Graduate","Single","$40K - $60K",1,3065,3524,69
34,"F","Doctorate","Single","Less than $40K",3,1438.3,3044,91
61,"F","Graduate","Single","$40K - $60K",3,7118,3964,66
46,"M","Graduate","Married","$40K - $60K",2,2403,3393,64
54,"M","Graduate","Married","$40K - $60K",3,2706,1682,39
36,"F","High School","Single","Less than $40K",1,2226,2660,62
37,"M","Graduate","Married","$60K - $80K",3,3351,1910,43
47,"M","College","Divorced","$40K - $60K",1,5570,4129,72
64,"F","High School","Married","Less than $40K",2,2174,1755,39
48,"M","Graduate","Married","$80K - $120K",3,31501,3742,75
53,"F","Graduate","Married","Less than $40K",2,2413,1398,24
56,"M","High School","Married","$80K - $120K",2,5920,1408,28
41,"M","College","Single","$60K - $80K",3,5841,3817,81
37,"M","High School","Single","$60K - $80K",1,8418,2879,63
30,"M","High School","Married","Less than $40K",4,2490,2441,53
45,"M","Post-Graduate","Married","$80K - $120K",3,20640,1792,53
54,"M","High School","Married","$60K - $80K",1,9453,1688,45
46,"M","Graduate","Married","$60K - $80K",2,7949,3355,58
36,"F","College","Single","Less than $40K",2,2758,3073,86
48,"M","Doctorate","Single","$120K +",2,20148,3921,74
59,"F","Doctorate","Single","Less than $40K",1,1438.3,1904,47
44,"M","Graduate","Single","$60K - $80K",3,13477,3866,67
65,"M","College","Divorced","Less than $40K",3,9706,3435,58
46,"F","Graduate","Single","$40K - $60K",2,7457,3162,64
48,"M","Graduate","Married","$80K - $120K",2,34516,3937,80
53,"M","High School","Married","$120K +",1,19081,1536,31
41,"M","High School","Single","$80K - $120K",2,28830,3533,57
37,"F","High School","Divorced","$40K - $60K",1,2563,2064,46
29,"F","High School","Single","Less than $40K",3,5240,2712,64
49,"F","Doctorate","Married","Less than $40K",3,3397,3295,66
47,"M","Doctorate","Single","Less than $40K",3,1842,4165,67
33,"M","Graduate","Divorced","$60K - $80K",3,20791,2883,93
34,"M","Graduate","Unknown","$60K - $80K",2,19900,3948,96
36,"F","Graduate","Single","$40K - $60K",2,3701,3222,86
30,"F","Graduate","Single","Less than $40K",1,4199,3016,67
34,"M","High School","Single","$40K - $60K",1,4353,2664,81
38,"F","College","Married","$40K - $60K",4,4913,899,28
39,"F","Post-Graduate","Married","Less than $40K",3,5454,2674,67
36,"M","Doctorate","Single","$40K - $60K",3,2845,2396,51
31,"M","Graduate","Single","$40K - $60K",1,12050,2015,46
65,"M","High School","Unknown","Less than $40K",3,2107,3913,67
63,"F","Graduate","Married","Less than $40K",3,2107,1320,35
65,"M","Graduate","Married","Less than $40K",2,3539,1463,31
51,"M","Graduate","Married","$40K - $60K",2,17905,4399,64
37,"M","Graduate","Married","$60K - $80K",1,4940,3246,57
34,"F","High School","Married","$40K - $60K",1,3203,2625,52
32,"F","College","Divorced","Less than $40K",5,1835,2801,79
39,"M","High School","Married","$80K - $120K",2,8208,3135,39
42,"M","Doctorate","Married","$80K - $120K",2,26222,1988,30
55,"M","College","Divorced","$80K - $120K",2,34173,3731,69
57,"F","Graduate","Married","$40K - $60K",1,3377,1621,32
53,"M","Graduate","Married","$120K +",3,5882,1380,30
51,"M","Graduate","Married","$80K - $120K",3,7158,2113,60
47,"M","Graduate","Married","Less than $40K",1,5833,3732,75
26,"F","High School","Single","$40K - $60K",3,4152,2351,42
37,"M","High School","Single","$40K - $60K",2,11699,2007,46
37,"M","Graduate","Single","$120K +",3,34516,2574,62
36,"F","Graduate","Single","Less than $40K",2,2937,2511,51
36,"F","High School","Single","Less than $40K",3,5257,2822,73
39,"M","High School","Single","$60K - $80K",3,10331,3695,81
56,"F","Graduate","Married","Less than $40K",3,4366,1596,37
49,"M","Graduate","Single","$120K +",2,8514,4098,74
51,"F","High School","Married","Less than $40K",3,3132,3607,60
26,"F","College","Married","$40K - $60K",3,2010,3625,85
34,"M","Graduate","Married","$80K - $120K",2,7567,2361,45
56,"M","High School","Single","$40K - $60K",6,2381,1920,46
43,"M","Graduate","Married","$120K +",2,34516,4976,88
42,"F","High School","Single","Less than $40K",2,1438.3,3786,67
38,"M","College","Married","$80K - $120K",3,3735,1837,47
55,"M","Post-Graduate","Single","$60K - $80K",3,22127,3591,63
52,"M","Doctorate","Married","$120K +",2,11188,2109,47
29,"F","Post-Graduate","Single","Less than $40K",2,5076,2675,57
48,"M","Doctorate","Unknown","$60K - $80K",2,32658,2023,37
49,"F","Post-Graduate","Single","Less than $40K",1,3414,1803,49
43,"M","High School","Married","$80K - $120K",6,12315,2028,51
43,"M","Graduate","Single","$80K - $120K",2,12165,4066,74
51,"F","Graduate","Single","Less than $40K",1,1792,3102,63
37,"M","Doctorate","Single","$80K - $120K",3,19300,2660,70
37,"M","College","Divorced","$40K - $60K",3,8120,3161,54
49,"M","High School","Married","$80K - $120K",2,2292,2584,60
50,"F","Graduate","Unknown","Less than $40K",3,3424,4929,74
45,"M","High School","Married","$120K +",2,32446,1717,39
41,"M","Graduate","Married","$80K - $120K",3,9133,4101,88
47,"M","Graduate","Single","$80K - $120K",3,5116,2361,49
39,"M","Post-Graduate","Married","$80K - $120K",2,18974,2783,56
55,"F","High School","Single","$40K - $60K",3,5379,1778,40
57,"M","Graduate","Single","$120K +",3,32676,3990,88
36,"M","Doctorate","Divorced","$120K +",3,34516,2243,60
39,"F","Graduate","Single","$40K - $60K",2,5858,3355,77
65,"F","Graduate","Married","$40K - $60K",2,2692,1594,36
50,"F","High School","Married","Less than $40K",3,1438.3,4740,81
38,"M","Graduate","Single","$60K - $80K",1,26988,3732,70
40,"F","Graduate","Single","Less than $40K",1,10745,3502,87
49,"F","Graduate","Married","Less than $40K",3,8228,4277,80
49,"M","Graduate","Married","$80K - $120K",1,34516,3951,76
38,"M","Graduate","Divorced","$80K - $120K",1,14821,2876,60
52,"M","Graduate","Single","$80K - $120K",1,2047,3452,66
40,"M","Graduate","Single","$80K - $120K",3,22380,3756,73
53,"M","High School","Single","Less than $40K",1,3351,4294,66
54,"M","Graduate","Married","$40K - $60K",1,1438.3,1585,37
34,"M","College","Single","$60K - $80K",1,2165,2651,81
50,"M","Graduate","Married","$120K +",5,34516,1756,35
56,"F","Graduate","Married","Less than $40K",2,1438.3,1336,32
44,"F","Graduate","Single","$40K - $60K",4,4333,1558,40
45,"M","College","Married","Less than $40K",2,6637,1801,48
36,"M","Graduate","Single","$120K +",3,3174,3140,74
52,"M","Graduate","Single","$80K - $120K",2,34516,1661,40
50,"F","Graduate","Married","Less than $40K",2,1438.3,3637,80
53,"F","Graduate","Single","Less than $40K",3,6853,2833,70
27,"F","College","Divorced","Less than $40K",3,2166,3563,70
41,"M","High School","Single","$60K - $80K",1,4475,3367,66
59,"M","High School","Married","$40K - $60K",2,5446,1505,33
46,"M","Graduate","Married","$60K - $80K",2,9451,3179,79
44,"M","High School","Married","Less than $40K",2,6130,3411,78
40,"M","Graduate","Married","$60K - $80K",2,15008,3943,85
32,"M","High School","Married","$40K - $60K",1,4583,2395,57
37,"F","High School","Single","Less than $40K",2,2282,2751,68
51,"M","Graduate","Divorced","$40K - $60K",3,7570,3849,70
52,"M","Doctorate","Married","$80K - $120K",2,12878,1968,59
61,"M","High School","Single","$60K - $80K",2,26218,3925,88
49,"M","Post-Graduate","Single","$120K +",1,34516,3422,78
35,"M","Graduate","Married","$40K - $60K",4,5801,2987,52
63,"F","High School","Married","Less than $40K",3,2271,1550,33
36,"F","Post-Graduate","Married","Less than $40K",3,3107,2720,48
33,"F","Graduate","Single","Less than $40K",1,2001,3162,99
33,"M","Graduate","Single","$80K - $120K",1,1438.3,2557,55
61,"M","Graduate","Married","$60K - $80K",2,3264,1665,32
44,"M","Graduate","Unknown","$80K - $120K",3,26856,4222,75
38,"M","Doctorate","Single","$80K - $120K",3,34516,4238,85
37,"M","Post-Graduate","Single","$80K - $120K",2,15326,2990,55
37,"F","Graduate","Single","$40K - $60K",1,2673,3052,63
46,"M","Graduate","Married","$80K - $120K",1,16227,4314,67
51,"M","Graduate","Married","$80K - $120K",2,3290,3591,80
50,"F","High School","Single","Less than $40K",3,11176,2682,64
53,"M","Graduate","Married","$80K - $120K",2,2492,1606,32
54,"M","Post-Graduate","Single","$60K - $80K",3,14265,3982,58
47,"F","High School","Single","Less than $40K",1,7469,3150,70
52,"F","Graduate","Married","Less than $40K",1,4592,1470,33
43,"F","Graduate","Single","Less than $40K",3,4341,3825,63
34,"M","Post-Graduate","Unknown","$60K - $80K",3,27710,4014,73
33,"F","College","Single","Less than $40K",3,13431,2338,71
49,"M","High School","Unknown","$60K - $80K",3,2645,4251,69
44,"M","Doctorate","Single","$120K +",1,14028,3683,73
37,"M","High School","Single","$80K - $120K",2,5699,2835,57
52,"M","College","Married","$80K - $120K",3,2803,3142,64
40,"M","Graduate","Unknown","$60K - $80K",2,6391,2323,44
40,"F","High School","Married","Less than $40K",2,4736,3927,73
59,"M","Doctorate","Single","$60K - $80K",2,9944,3159,69
52,"F","College","Married","$40K - $60K",3,4717,2349,66
48,"M","Graduate","Married","$60K - $80K",2,16920,3275,60
45,"F","Graduate","Unknown","Less than $40K",3,3240,1904,41
30,"F","Graduate","Divorced","Less than $40K",1,4704,3294,87
41,"F","High School","Single","$40K - $60K",1,14987,4470,83
46,"M","Graduate","Married","$120K +",3,9227,3948,74
31,"F","College","Married","Less than $40K",2,1677,3059,50
48,"M","High School","Single","$60K - $80K",2,2319,3739,68
53,"M","High School","Single","$80K - $120K",3,18531,2484,52
45,"M","Graduate","Married","$40K - $60K",3,4112,2949,54
46,"M","Graduate","Single","$120K +",1,34516,4143,68
34,"M","Graduate","Single","$80K - $120K",3,34516,2759,65
51,"M","Graduate","Married","$60K - $80K",1,7133,2689,62
44,"F","Doctorate","Single","$40K - $60K",3,4210,4248,65
49,"M","High School","Single","$120K +",3,12630,4084,66
56,"F","College","Single","Less than $40K",5,3639,1865,42
52,"M","High School","Divorced","$120K +",3,31945,3650,62
35,"M","College","Single","$60K - $80K",2,23447,2834,77
48,"M","Graduate","Single","$80K - $120K",2,4180,3750,76
53,"F","Graduate","Single","$40K - $60K",3,4930,4224,77
50,"F","College","Single","Less than $40K",2,4785,3651,59
48,"M","Graduate","Single","$80K - $120K",3,21374,4100,79
36,"M","Graduate","Married","$60K - $80K",3,1911,1965,49
41,"F","Post-Graduate","Single","Less than $40K",3,8666,3593,71
36,"M","College","Single","$60K - $80K",3,1438.3,2882,68
49,"M","Graduate","Married","Less than $40K",3,2976,3332,60
43,"M","High School","Single","$120K +",1,34516,1996,48
58,"M","High School","Married","$60K - $80K",2,1438.3,1539,40
46,"M","High School","Divorced","$80K - $120K",1,16099,3656,88
50,"M","Graduate","Single","$80K - $120K",2,19595,3811,62
43,"M","Graduate","Single","$60K - $80K",2,13193,4071,64
57,"F","College","Single","$40K - $60K",1,8184,4134,71
51,"M","Doctorate","Single","$120K +",2,25873,3920,84
46,"M","College","Married","$80K - $120K",2,20860,3435,56
52,"M","College","Married","$80K - $120K",3,27751,1427,25
48,"M","Graduate","Married","$80K - $120K",2,34516,3661,71
49,"M","High School","Married","$80K - $120K",2,29893,2063,48
41,"F","Post-Graduate","Married","Less than $40K",1,6519,3088,65
44,"M","High School","Married","$80K - $120K",2,2509,3166,72
32,"F","High School","Single","Less than $40K",1,10332,2914,67
38,"M","College","Single","$60K - $80K",3,12050,2381,40
39,"M","High School","Single","$120K +",2,26124,4199,92
48,"F","Graduate","Divorced","Less than $40K",2,9816,3489,81
52,"F","College","Single","Less than $40K",3,2783,3897,74
49,"M","Graduate","Unknown","$60K - $80K",2,15942,1742,41
46,"F","Graduate","Single","Less than $40K",3,12222,3418,78
38,"F","Doctorate","Married","Less than $40K",2,4002,2114,53
60,"M","College","Single","$80K - $120K",3,34516,3261,64
48,"M","High School","Single","$80K - $120K",2,10227,3577,82
45,"F","Graduate","Single","Less than $40K",3,4265,3244,62
43,"M","Doctorate","Divorced","$40K - $60K",1,2243,4023,63
41,"F","Graduate","Married","$40K - $60K",1,11239,3978,89
50,"M","Post-Graduate","Married","$120K +",2,34516,2687,64
56,"M","Graduate","Married","$80K - $120K",2,23510,1661,35
53,"F","High School","Single","Less than $40K",2,8693,4755,69
35,"F","High School","Married","Less than $40K",3,4549,1914,33
51,"M","College","Married","$80K - $120K",1,3558,4136,65
51,"F","Graduate","Single","Less than $40K",3,7176,1375,33
38,"M","Graduate","Single","$60K - $80K",3,18293,2958,63
48,"M","Graduate","Divorced","$80K - $120K",3,6383,4462,88
42,"F","High School","Single","Less than $40K",2,13441,1894,49
50,"M","Graduate","Married","$120K +",1,20114,4740,88
54,"F","Graduate","Single","Less than $40K",2,2019,1689,36
38,"M","High School","Single","$60K - $80K",1,34516,4533,78
55,"M","Post-Graduate","Single","$80K - $120K",1,1438.3,1427,36
46,"M","High School","Married","$60K - $80K",3,8017,1657,43
40,"F","Graduate","Single","Less than $40K",3,6587,4160,70
32,"M","High School","Single","$60K - $80K",2,2999,3018,80
49,"M","Graduate","Single","$60K - $80K",1,7154,3607,59
53,"M","Post-Graduate","Married","$80K - $120K",2,4039,1494,36
57,"M","Graduate","Married","$80K - $120K",2,5516,1532,24
64,"F","Graduate","Single","Less than $40K",1,5577,4256,70
42,"F","Doctorate","Married","Less than $40K",2,9778,3413,66
49,"M","High School","Single","$120K +",2,14699,4890,64
57,"M","College","Single","$60K - $80K",3,10350,3396,63
44,"M","Graduate","Single","$40K - $60K",2,11346,3784,67
63,"F","Graduate","Single","Less than $40K",1,15987,3640,56
43,"M","Graduate","Single","$60K - $80K",2,19711,3602,72
33,"M","High School","Single","$40K - $60K",1,8650,2878,63
55,"M","Graduate","Single","$80K - $120K",1,34516,3542,60
50,"M","Graduate","Married","$80K - $120K",1,9748,3323,66
48,"M","Post-Graduate","Unknown","$120K +",2,34516,1632,44
47,"F","High School","Unknown","Less than $40K",2,4255,3453,72
31,"F","Graduate","Single","Less than $40K",3,3480,2807,65
38,"M","Graduate","Single","$80K - $120K",1,13637,3625,73
39,"M","Graduate","Single","$60K - $80K",2,6733,4444,72
52,"F","High School","Single","Less than $40K",3,2728,4293,83
49,"F","Graduate","Married","$40K - $60K",1,6250,2433,41
44,"M","High School","Divorced","$60K - $80K",3,22919,3752,71
36,"M","Graduate","Single","$120K +",2,34516,2686,59
44,"M","Graduate","Single","$60K - $80K",2,7532,3550,68
45,"M","Graduate","Married","$80K - $120K",3,12250,1995,39
56,"M","College","Single","$80K - $120K",1,17753,3986,64
37,"F","Graduate","Single","Less than $40K",3,12535,3283,74
54,"M","Graduate","Single","$80K - $120K",2,29200,3042,73
46,"M","Post-Graduate","Single","$60K - $80K",3,10077,2118,52
44,"M","Graduate","Single","$60K - $80K",3,12871,3060,60
38,"M","Graduate","Single","$60K - $80K",2,2346,3982,72
55,"F","Post-Graduate","Divorced","Less than $40K",2,9919,2058,70
42,"F","Graduate","Married","Less than $40K",3,5505,2272,42
31,"F","Graduate","Single","Less than $40K",1,4254,2366,62
47,"F","High School","Married","Less than $40K",3,7711,2078,42
30,"F","Graduate","Married","Less than $40K",1,3213,2666,46
45,"F","High School","Divorced","Less than $40K",3,9977,3530,61
51,"M","Post-Graduate","Married","$40K - $60K",1,7925,3815,65
44,"F","High School","Married","Less than $40K",2,1438.3,4208,86
55,"M","College","Single","$120K +",3,12948,2481,42
49,"M","Graduate","Single","$60K - $80K",4,5662,1693,25
34,"F","High School","Single","Less than $40K",1,2799,2311,43
42,"M","Graduate","Divorced","$80K - $120K",3,6779,3434,65
53,"M","High School","Single","$60K - $80K",1,15583,3938,69
32,"M","High School","Married","$40K - $60K",2,2576,2880,69
35,"M","Graduate","Single","$60K - $80K",3,8717,2067,59
45,"M","Graduate","Married","$80K - $120K",2,1438.3,3748,64
45,"M","College","Single","$80K - $120K",2,33755,3458,71
43,"F","Graduate","Married","Less than $40K",1,12952,3472,51
38,"M","Graduate","Married","$60K - $80K",4,11741,2143,41
44,"M","High School","Married","$80K - $120K",2,20882,2291,40
63,"F","College","Single","$40K - $60K",3,3071,4433,68
39,"M","Graduate","Divorced","$60K - $80K",1,2267,4544,84
52,"M","High School","Single","$120K +",2,6617,3595,68
57,"F","High School","Divorced","Less than $40K",3,3276,3758,61
36,"M","High School","Married","$120K +",3,10097,3092,67
42,"F","College","Married","Less than $40K",2,8260,3299,64
52,"M","Graduate","Married","$40K - $60K",2,5776,4029,72
40,"F","Graduate","Divorced","Less than $40K",3,1438.3,3754,58
40,"F","College","Single","Less than $40K",3,7207,3825,70
44,"M","High School","Married","$60K - $80K",2,21158,4071,67
43,"M","Graduate","Married","$120K +",2,22906,3204,64
45,"M","Graduate","Married","$60K - $80K",3,2648,3281,63
38,"M","College","Single","$60K - $80K",1,16317,1995,54
36,"M","Graduate","Single","$80K - $120K",2,3761,3240,65
37,"M","High School","Unknown","$120K +",1,34516,3660,59
44,"M","Graduate","Married","$80K - $120K",2,19430,3650,80
37,"M","High School","Single","$60K - $80K",2,9829,2927,73
57,"F","Post-Graduate","Single","$40K - $60K",4,7226,3474,67
59,"F","College","Unknown","Less than $40K",5,4072,1966,43
39,"F","Graduate","Single","Less than $40K",3,1438.3,4548,69
59,"F","Graduate","Single","$40K - $60K",3,21358,3646,77
63,"M","High School","Single","$60K - $80K",3,1856,1805,46
36,"M","High School","Single","$80K - $120K",3,1438.3,3204,68
64,"M","Graduate","Single","Less than $40K",1,2586,3435,65
39,"M","Graduate","Married","$80K - $120K",3,3281,2006,34
50,"F","High School","Married","Less than $40K",1,7115,3584,57
47,"M","Graduate","Unknown","$40K - $60K",3,9080,2098,46
40,"F","Graduate","Married","Less than $40K",1,8749,5054,73
52,"M","High School","Single","$60K - $80K",3,14973,4288,72
46,"M","College","Married","$60K - $80K",2,24248,3311,84
52,"M","High School","Single","$80K - $120K",3,11617,1643,43
45,"M","Graduate","Married","$60K - $80K",2,30428,4178,69
59,"M","Graduate","Married","$60K - $80K",3,14257,1809,23
55,"F","College","Single","Less than $40K",2,5719,3403,68
40,"M","Graduate","Single","$40K - $60K",1,2526,3596,69
52,"F","High School","Single","Less than $40K",3,2971,4458,63
59,"M","Graduate","Single","Less than $40K",3,6834,4422,70
59,"M","Graduate","Single","$60K - $80K",2,16727,3511,73
41,"M","High School","Married","$60K - $80K",2,4573,3776,70
38,"M","Post-Graduate","Single","$80K - $120K",1,15410,3368,69
44,"F","High School","Single","$40K - $60K",2,3299,4312,84
48,"F","Graduate","Married","Less than $40K",1,6362,5169,84
50,"M","Graduate","Married","$40K - $60K",3,2845,3730,66
49,"M","High School","Single","$120K +",2,21144,4895,66
45,"F","Graduate","Married","Less than $40K",2,3518,4034,82
47,"M","High School","Married","$60K - $80K",1,17343,3170,57
43,"M","Graduate","Married","$80K - $120K",1,3498,2512,56
41,"F","High School","Single","Less than $40K",2,8054,3374,45
42,"M","Graduate","Married","$40K - $60K",2,1640,1360,33
48,"M","Doctorate","Married","$80K - $120K",3,8739,4276,69
46,"M","Graduate","Single","$80K - $120K",1,1818,2308,44
46,"F","Graduate","Married","$40K - $60K",3,3115,3704,70
41,"M","High School","Single","$80K - $120K",5,33472,4719,70
51,"M","Graduate","Married","$40K - $60K",3,11512,1842,32
51,"M","Graduate","Married","$60K - $80K",1,8511,3775,62
41,"M","Graduate","Single","$60K - $80K",1,4821,3571,58
57,"M","Graduate","Unknown","$60K - $80K",1,2480,3438,66
44,"M","Graduate","Married","$120K +",3,34516,4228,83
49,"M","High School","Married","$60K - $80K",3,7223,4127,70
63,"M","High School","Married","$60K - $80K",2,7216,1734,38
44,"M","College","Single","$60K - $80K",1,28397,1635,31
49,"M","Graduate","Married","$60K - $80K",6,2952,3830,77
35,"M","High School","Unknown","$80K - $120K",3,11229,1898,36
45,"M","College","Married","$40K - $60K",2,7109,4047,75
36,"M","College","Single","$60K - $80K",3,4511,2597,71
42,"M","Post-Graduate","Married","$40K - $60K",3,2533,3436,74
46,"M","Graduate","Divorced","$120K +",2,2016,3772,62
50,"M","High School","Divorced","$40K - $60K",3,5530,4836,68
57,"F","Doctorate","Single","Less than $40K",3,1737,3669,58
55,"M","High School","Divorced","$120K +",2,34516,2862,78
38,"M","College","Single","$40K - $60K",1,11068,3812,64
35,"F","Graduate","Married","Less than $40K",2,5546,1770,46
48,"M","Doctorate","Married","$60K - $80K",3,7277,2356,40
57,"M","Graduate","Single","$40K - $60K",3,9426,4212,75
47,"M","Graduate","Unknown","$80K - $120K",2,2158,4421,89
37,"M","College","Single","$40K - $60K",2,3490,3392,80
49,"M","Post-Graduate","Unknown","$60K - $80K",2,18253,3737,73
48,"F","Graduate","Married","Less than $40K",3,3696,3405,76
52,"M","Graduate","Single","$40K - $60K",3,8748,3533,73
45,"F","Post-Graduate","Single","Less than $40K",1,2736,4550,84
44,"M","Graduate","Married","$40K - $60K",3,6327,3653,77
42,"M","Doctorate","Unknown","$80K - $120K",1,4728,4077,70
43,"M","Graduate","Single","$80K - $120K",1,13430,3717,67
62,"M","Graduate","Single","$60K - $80K",1,2796,4820,74
46,"M","Graduate","Married","$40K - $60K",3,2457,3256,71
42,"M","Graduate","Married","$80K - $120K",2,12386,3274,69
39,"M","College","Single","$80K - $120K",3,32210,1821,53
59,"M","Graduate","Single","$40K - $60K",3,2136,1908,37
43,"M","Doctorate","Single","$80K - $120K",3,10851,3688,65
55,"M","College","Single","$80K - $120K",2,10696,2489,38
48,"M","High School","Single","$80K - $120K",3,11851,4498,73
36,"M","Doctorate","Single","$40K - $60K",3,11558,2220,53
49,"M","High School","Unknown","$60K - $80K",2,9551,3213,52
40,"M","High School","Unknown","$80K - $120K",3,29923,2528,52
54,"F","Doctorate","Unknown","Less than $40K",3,1438.3,1598,40
63,"M","College","Single","$80K - $120K",2,9033,4456,85
44,"M","High School","Married","$80K - $120K",3,9183,4503,69
36,"F","College","Single","Less than $40K",1,5383,2934,80
45,"F","Graduate","Single","$40K - $60K",2,21425,3704,60
35,"M","Doctorate","Single","$40K - $60K",3,10467,2665,65
55,"M","Graduate","Single","$120K +",2,12856,3364,61
61,"F","Graduate","Single","$40K - $60K",3,9721,2260,46
43,"F","Graduate","Married","Less than $40K",3,3981,2134,42
51,"F","High School","Single","$40K - $60K",5,3417,3651,60
64,"M","Graduate","Single","Less than $40K",3,3812,2325,45
49,"M","Graduate","Married","$80K - $120K",1,21378,3526,64
54,"F","Graduate","Single","Less than $40K",3,12873,3170,70
46,"M","High School","Single","$60K - $80K",3,20229,4270,62
46,"M","Graduate","Unknown","$80K - $120K",3,16546,4255,75
45,"M","High School","Divorced","$60K - $80K",1,17576,3494,67
45,"M","Graduate","Single","$40K - $60K",5,10271,3696,72
50,"F","High School","Single","Less than $40K",3,1560,1936,58
40,"M","Post-Graduate","Single","$60K - $80K",2,1659,3838,66
38,"M","High School","Single","$120K +",2,22487,4960,73
36,"M","Graduate","Unknown","Less than $40K",2,5403,4382,74
54,"F","High School","Single","$40K - $60K",3,4717,4216,67
50,"M","High School","Single","$60K - $80K",2,5180,3447,74
50,"M","High School","Single","$80K - $120K",2,4915,1474,36
41,"M","High School","Married","$80K - $120K",2,12154,3853,71
46,"M","Graduate","Married","$60K - $80K",3,3258,3169,67
50,"M","Graduate","Single","$120K +",3,34516,1480,37
45,"M","Graduate","Single","$80K - $120K",5,31458,4202,66
40,"F","College","Married","Less than $40K",1,1438.3,3308,54
47,"M","High School","Married","$40K - $60K",2,2498,1839,29
42,"M","Graduate","Unknown","$80K - $120K",1,16105,4631,76
45,"M","Graduate","Divorced","$40K - $60K",2,9569,1724,35
40,"M","Graduate","Married","$80K - $120K",1,3340,4526,82
40,"M","Graduate","Married","$80K - $120K",2,3654,4003,67
49,"M","Graduate","Married","$40K - $60K",2,10541,4269,92
45,"M","Graduate","Single","$80K - $120K",3,1613,3549,65
38,"M","College","Single","$80K - $120K",3,1438.3,1585,32
49,"M","College","Divorced","$40K - $60K",2,1922,2920,46
45,"F","Graduate","Unknown","Less than $40K",2,14521,4178,66
63,"F","Graduate","Single","Less than $40K",6,1931,2288,48
43,"M","Graduate","Single","$40K - $60K",3,8513,2015,37
50,"M","High School","Single","$40K - $60K",1,2421,2377,56
47,"F","High School","Married","Less than $40K",3,1478,4123,67
63,"M","Graduate","Single","$60K - $80K",1,2466,4059,66
30,"F","Post-Graduate","Divorced","Less than $40K",1,2501,2933,65
41,"M","Doctorate","Single","$60K - $80K",1,13602,3582,69
38,"M","Graduate","Single","Less than $40K",3,3094,3607,81
44,"F","High School","Married","Less than $40K",2,2485,3697,77
46,"F","College","Single","Less than $40K",1,1438.3,3880,74
53,"F","Graduate","Single","Less than $40K",3,6189,5004,65
54,"M","Post-Graduate","Divorced","$120K +",2,5569,2600,60
50,"M","College","Married","$80K - $120K",2,2418,3896,58
51,"F","Graduate","Married","Less than $40K",1,7742,3507,69
63,"F","High School","Single","Less than $40K",3,2074,4232,75
54,"F","Graduate","Divorced","$40K - $60K",3,4948,1796,41
60,"M","Graduate","Single","$60K - $80K",3,28701,3516,57
33,"M","Graduate","Divorced","$60K - $80K",3,24149,2584,66
52,"M","College","Married","$60K - $80K",1,1438.3,3769,73
39,"M","Graduate","Single","$60K - $80K",3,24657,1954,46
46,"M","College","Single","$60K - $80K",3,4939,2150,43
44,"M","Graduate","Married","$40K - $60K",2,9502,2310,57
62,"F","Doctorate","Single","Less than $40K",3,2936,2692,29
47,"F","Graduate","Married","$40K - $60K",1,6602,3163,73
45,"M","Graduate","Married","$80K - $120K",3,3728,1632,42
42,"M","Graduate","Single","$60K - $80K",2,2021,3253,62
47,"F","Graduate","Married","$40K - $60K",2,2255,4772,83
41,"F","Graduate","Single","Less than $40K",3,15704,4487,71
47,"F","Doctorate","Married","$40K - $60K",3,1438.3,2584,42
56,"F","High School","Single","Less than $40K",5,8340,3755,77
54,"M","Graduate","Unknown","$80K - $120K",2,15108,3713,65
42,"F","Graduate","Single","$40K - $60K",2,15104,4259,79
39,"F","Graduate","Married","Less than $40K",3,2490,1902,34
45,"M","Graduate","Married","Less than $40K",3,2009,3172,55
52,"M","Graduate","Single","$120K +",3,31668,1822,36
48,"M","High School","Unknown","$80K - $120K",1,7633,1807,58
46,"M","High School","Single","$60K - $80K",1,23642,3139,54
50,"F","Graduate","Single","Less than $40K",3,1438.3,2004,25
39,"F","Post-Graduate","Single","$40K - $60K",2,17814,4712,76
51,"M","College","Single","$120K +",3,8706,3203,54
48,"M","High School","Single","$60K - $80K",1,19272,3398,67
